user_name,tweets
Khan G,"Quote Tweet
Imran Khan
@ImranKhanPTI
 · 2h
پشاور مدرسے میں دہشت گرد حملے پر نہایت افسردہ ہوں۔ میری ہمدردیاں متاثرہ خاندانوں کے ساتھ ہیں اور میں زخمیوں کی جلد صحتیابی کیلئے دعاگو ہوں۔ میں قوم کو یہ بھی یقین دلاتا ہوں کہ اس بزدلانہ سفاک حملے کے ذمہ دار دہشتگردوں کو جتنا جلد ممکن ہوسکے گا قانون کی گرفت میں لائیں گے۔"
Khan G,دنیا کی نمبر ون فوج ہم رکھتے ہیں دنیاکی بہترین ایجنسی ہماری ہے لیکن ملک میں دھماکے کون کرجاتا ہے اسکی ہمیں خبر نہیں
Abdulrehman,"Quote Tweet
RajaWaseem(OneManArmy)
@rajawaseem1511
 · 11h
یہ سلیکٹڈ کیا بک رہا ہے؟
پاک فوج لڑنے کے لیے ٹرینڈ نہیں ہے
مشرقی پاکستان، بلوچستان،قبائلی علاقہ جات، کراچی
 ہر جگہ ناکام
یہ صرف انسانی حقوق کی خلاف ورزیاں اور ماوراء عدالت قتل کر سکتے ہیں

باجوہ صاحب،اسے اس میرٹ پر سلیکٹ کیا ہے؟
نواز شریف تو چند کرداروں کی بات کرتا ہے
اور یہ؟"
سید سمیر,"مولانا عادل کی شہادت ہوئ۔۔۔ کہیں کوئ احتجاج نہیں ہوا۔۔۔۔
پر امن احتجاج تو کیا جاسکتا ہے۔۔
مگر کس کے خلاف کریں۔۔
نا فوج کی خلاف آواز نکلتی ہے نا طالبان کیخلاف۔۔"
A.K.B,"اس بیچارے کا دماغی توازن مکمل طور پر بگڑ چکا ہے جو ملک میں رہتے ہوئے بھی دھماکوں کے موسم سے بالکل نابلد ہے. 
اصل سوال یہ تھا کہ کیا وجہ ہے جب بھی فوج کو بیرکوں میں بھیجنے کی بات کی جاتی ہے تو ملک میں اچانک دھماکے شروع ہوجاتے ہیں؟ دہشتگردی سر اٹھانے لگتی ہے؟"
anood ahmad,فوج کی کارروائی دشمن کے 17مار ڈالے پشارو بھی فتح ہوگیا شیدے ٹلی بیغیرت کی پیشگوئی پوری ہوگئی
Nation's League Pakistan,"Quote Tweet
Tauqir Farooq
@RTFSTF
 · 59m
Replying to @ZubairLiaquat77
جب آپ ہر جگہ مصلحت کا شکار ہونے لگ جائیں انجام پھر یہی ہو گا"
Ali,"دونوں حملے آرمی نے خود کروائے ہیں
پہلے سے ارمی کے 16 دسمبر سکوت ڈھاکہ والی یاد گئی ساتھ میں ھمدردیاں مل گئی اب کی بار فوج کی کرپشن بچ گئی اس سے پہلء بھی بجٹ کے وقت لائن آف کنٹرول پہ یہ اپنے بندے مارنے شروع کردیتے تھے"
Geo Jatta,ماروی سرمد تم نے اور تیرے ھندو آقا نے APS کیا اور تو بھاگ گئی امریکہ۔ ایک دن تیری بھی باری آنی ھے۔ کب تک پاکستانی فوج اور اسلام پر بھونکتی رھو گی۔ ھم تو برداشت کر رھے ھیں لیکن تم اور تیری کنجری ماں کا ھندو یار برداشت نہیں کر سکے گا جب تم دونوں کی باری آئی۔ انشاءاللہ!
Riaz Akhtar,"Quote Tweet
Sardar Hussain Babak
@babaksardar
 · 1h
پشاور دھماکہ، پی ڈی ایم کے لیڈرشب کو پختونوں کی نسل کشی کے حلاف اٹھ کھڑا ہونا لازم ہوچکاہے ۔پختونوں کا سب سے بڑا مسئلہ جاری بدامنی اور دہشت گردی ہے ۔علماء کرام کو کھل کر دہشتگردی کیخلاف بولنا ہوگا ۔پختون مزید لاشیں اٹھانے کے متحمل نہیں ہوسکتے ۔"
Muhammad Irfan Malik,فوج کو کو تنخواہ کے تانے دینے والوں کو ساری تنخواہیں دیں اور یہ نکلیں بستر سے اور جائیں لڑنے۔ فوج کے شہداء کو اب دھرنے دینے چاہیں بلوچستان میں آپریشن کراے بھٹو اس کا ساتھ تھے اکبر بگٹی اور جن فوجیوں نے ان لبرل جاگیرداروں سرداروں کی پالیسی پر جانیں دئیں قصوار بھی وہی۔
Akasha_Mughal PTi,"جس مُلک کے اندر فوج اور دفاعی اداروں کو کمزور کرنے کے لیئے دن رات بکواس ہو رہی ہو وہاں باہر کے دُشمن کو بھی کھُل کر وار کرنے کا موقع مل جاتا ہے۔اللہ ہمارے مُلک پر رحم فرمائے۔۔ 
Ameen ya rabbul alameen"
Bacha Zaib (باچا زیب ),"ادھا سچ
مولانا نے یہ فرمایا تھا کہ اگر ہمیں آئین کے مطاطق رہنے نہیں دیا گیا تو ہم ""آپ کا"" پاکستان میں وہ حال کردیں گے جو امریکی فوج کا افغانستان میں ہوا ہے۔ 
پورا سچ بتایا کریں :)"
WALI KHAN sherani,را کے پالتو  جو ہمارے بیچ آج بھی موجود ہیں وہ کرتے ہیں  جس سوٹڈ بوٹڈ  والے داڑھی پگڑی والے  ہر شکل میں ہمارے بیچ موجود ہیں  تبھی پاک فوج اور سیکورٹی فورسز کے بارے میں بکواس کرتے رہتے ہیں تا کہ انہیں کھلم کھلا خون کی ہولی کھیلنے کا موقع مل جائیں  پر ایسا ھوگا کبھی نہیں
