user_name,tweets
Muhammad Asad Imtiaz,سیاست کو فوج سے پاک کرنا ہوگا اور ان جیسے لوگ سے بھی
Save Pakistan,اگر فوج کو پتہ ہے تو وضاحت دے
محمد جاوید چوہدری,ووٹ کو نی بلکہ تیری باجی کو عزت دو  ابے دلے کیا فوج ڈر گہی تو تیری گھر کی عورتوں نے ملک بچایا ھوا ھے؟ مادر کلچو ادر سیاست ماں کو بیچ میں نہ لاو
qamar,"بنگالیں کو بھگانے والے فوجی نہیں جہموریت کا شور مچانے والے تھے۔
تم ادھر اور ہم ادھر کہنے ولا فوجی نہیں بھٹو تھا دلوں میں نفرت, مینڈیٹ سے انکار فوج نے نہیں جہموریت نے کیا تھا, جہموریت پہلے ہی ملک کے حصے کر چکی ہے اب پھر کام پر لگ گی ہے۔
تھوڑی تاریخ کے صفحے پلٹ کر دیکھو۔"
محمد جاوید چوہدری,نا سمجھ آدمی باقی معملات اندورنی ھیں مگر ایاز غدار نے یہ ثابت کرنے کی کوشش کی کہ پاکستانی فوج اور حکومت انڈیا سے اتنے ڈرتے تھے کہ ٹانگیں کانپ رھیں تھیں تو اس پر فوج نے ھی جواب دینا تھا نہ کہ اپ نے
دل سے پاکستانی,پھر فوج نے انڈیا کو لائف لائین دینے والے کو دو ہزار تیرہ میں بھاری اکثریت سے کیوں وزیراعظم بنوایا؟
Mughal,پی ٹی آئ کے کارکن پاک فوج کے حق میں ریلی نکال رہیں سون کر خوشی ہوئی ہر شیر میں اس طرح کی ریلی نکلنی چاۓ
ملالہ پی ٹی آئی,"پاکستان ذندہ باد پاک فوج زندہ باد
عمران خان زندہ باد
آئی ایس آئی زندہ باد وطن کا غدار ماں کا غدار ہوگا دشمن سے پہلے غدار کا سر قلم کرنا چاہیے"
Ali Ansari,"بالکل جہادی تنظیمیں فوج نے بنائیں اور یہ سی آئی اے کے ساتھ مل کر بنائی گئی تھیں۔ جب افغانستان میں رشیا پہنچا ہوا تھا۔۔

یہ بات خان نے بہت بار کی ہے اور بالکل ٹھیک بات ہے۔۔

پر خان نے کبھی جیتی ہوئی جنگ کو دشمن کی جھولی میں نہیں ڈالا جیسا کہ کزاب صادق"
S-rehman,"Quote Tweet
⁦
⁩ Amir - Pmln
@Amir1Pmln
 · Oct 31
کون نہیں جانتا کہ زید حامد فوج کا تنخواہ دار اور  آئی ایس آئی کا ماؤتھ پیس ہے ۔۔
یہ باتیں زید حامد کرے تو محب وطن اور ایاز صادق کرے تو غدار ۔۔۔؟؟؟
#AyazSadiqExposedDarpokNiazi 
#AyazSadiq"
Arslan gujjar,"Quote Tweet
Ahmad Waqass Goraya
@AWGoraya
 · Nov 1
ریٹائرڈ فوجی ہمیشہ عسکری چکلے کا وفادار ہوتا ہے۔ twitter.com/geonews_urdu/s…"
Azhar Awan,مسئلہ یہ نہیں کہ سچے اور حق کا ساتھ دینے والے کم ہیں بلکہ مسئلہ یہ ہے کہ اس فوج نے ھمیشہ چوروں ڈاکوؤں کا ساتھ دیا ھے اب حافظ حسین احمد جیسے بندے تذبذب کا شکار ہیں کہ انہی کے ساتھ پھر ہاتھ نہ ھو جائے
Rehan,"ڈبو باؤلے نے اپنی طرف سے بڑی بات کی اور نیازی کو کریڈٹ دینے کے چکر میں ملک کی پیٹھ میں چھرا گھونپ دیا اور انڈیا کو پوری دنیا کے سامنے سچا کر دیا۔
ہماری فوج جتنی محنت باہر کر رہی ہے یہ اتنا ہی گھر بیٹھے اسے رسوا کر رہے ہیں۔"
Rehmat Butt,میں کہتا ہوں سلام ان عقل مند افراد کو جنہوں نے شاہ محمود قریشی کی لرزٹی ٹانگوں کو اللہ معاف کرے ایک معتبر اور جانی مانی شخصیت اللہ کے محبوب بندوں میں سے ایک عاجز بندے سپہ سالار نمبر ون فوج حضرت محترم قمر جاوید باجوہ المعروف گھگھڑ منڈی والی سرکار کی ٹانگیں بنا دیں. سبحان اللہ
Tanver Javaid,آو بھائی آپنے لیڈر کی فوج کے بارے میں خیالات سن لے۔ اب فوج نے تیرے لیڈر کو ہڈی ڈال دی ہے تو چیلے فوج کے حمایتی بن گئے ۔
zaki,ساری زندگی فوج کے تلوے چاٹتے رہے اب لوگوں کو یاد آگئی ووٹ کی عزت
Adnan Nabi,"@AyazSadiq122
اچھا تو بیرون ملک بیٹھ کر ملک کیخلاف سازش کرنا،  فوج کے سربراہ کو بذدل کہنا، جیتی جنگ کو ہار کہنا، قومی سلامتی کے راز کھولنے کی دھمکی دینا، بلوچستان کو آزاد ریاست بنانے کا اعلان کرنا، فوج کو کہنا کہ ہم آپ کا افغانستان والا حشر کردیں گے کیا اسے حب الوطنی کہیں؟"
Voice Of Civilian,ہمیں ہر پاکستانی پر اعتبار ہے بس بزدلوں کر اعتبار نہیں جو اتنی بہادر فوج ہونے کے باوجود بھی گھبراتے ہیں اور ٹانگیں کانپنا شروع ہوجاتی ہے
Saqib Ali,فوجیوں کی نہیں تم لوگوں کی کانپ رہی تھی کیوں فوج کو بدنام کر رہے ہو؟ غداروں
Mansoor Ali Khan,پانامہ کیس میں کتنے بین الاقوامی سیاستدانوں کے نام تھے؟ اٹلی کے برلسکونی کا نام سنا ہے؟ کتنوں کی فوج نے سیاست میں مداخلت کی؟ فوج کا کام نہیں کہ کرپشن ختم کرتی پھرے۔ کبھی ائیرفورس یا نیوی کو یہ کام کرتے دیکھا؟ ادھے ملک کو ان کے چیفس کے نام تک معلوم نہیں ہوتے نہ ان پر تنقید ہوتی ہے
سید محبوب,وزیراعظم عمران خان کی پاک فوج کے خلاف 21 بیانات ہیں اس پر کیا کرنا ھے،،،،؟
Muddasser Habib Khokhar,"Quote Tweet
Muhandis
@TheMuhandiss
 · Nov 1
#وطن_یا_شریف_خاندان ٹرینڈ کرنے والے بتائیں #وطن_یا_قمرباجوہ ؟"
N Tanoli,"محترم وزیرِ باتدبیر صاحب... 
مہربانی فرما کر سب سے پہلے اس کتے کی زبان گدی سے کھینچیں جس نے پوری دنیا کع لکھ کر دیا کہ پاکستانی فوج نے سوات اپریشن ڈالروں کے لیئے شروع کیا... 
ھمت ھے تو یہ کر کے دکھاؤ وگرنہ بک بک کرنے کی ضرورت نہیں.  سبکو معلوم َے تیری اور مرادو کی اصلیت..."
Shamsuddin Amjad,"اور ایک طرف یہ کہ فوج کے ساتھ کی بات کی جائے اور طرف مصر کی یاد دلائی جائے۔ ویسے جمہوری نظام تو مصر والا ہی ہے کہ جس کو چاہیں جتوا دیں
اور جماعت وہ سب ایوب دور میں بھگت چکی ہے، جماعت بین کرکے مرکز سے ضلع تک ساری قیادت کو جیلوں میں ڈال دیا گیا تھا۔ بھٹو دور میں بھی وہی سلسلہ رہا۔"
Mansoor Ali Khan,عراق اور لیبیا کی بہت مضبوط فوج تھی۔ صدام کے پاس 4 لاکھ کمانڈوز (پاکستان کے ایس ایس جی) تھے، عوامی حمایت ختم ہوئی تو یہ سب منہ چھپاتے پھرتے رہے۔ مشرقی بنگال میں فوج نے عوامی حمایت کھوئی تو ہتھیار ڈالنے پڑے۔فوج عوامی حمایت سے کامیاب ہوتی ہے اور اس کے لیے سیاست سے دور رہنا ضروری ہے
Khalifa Aqeel Shafiq,آپ کی ٹانگیں بھی كانپتی ہیں جوٹھ نہ بولیں آپ پنگے آپ فوج سے لے رہے اور بات شاہ جی کر رہی ہیں
غدار,ڈرپوک ڈاکو فوج کے بوٹ چاٹنے والے کنجر کہلاتے ہیں
